index,description,source
5,TRULY VODKA SODA TWIST VARIETY 8PK 8pk 12 oz,https://capecodpackagestore.com/shop/product/truly-vodka-soda-twist-variety-8pk/62ec02fd68bdd75764c3eedc?option-id=5fe7eb9b5143515989dbbdb6cf9b94437547fd5ec0c202322ab5e37fea718e66
10,Hoop Tea Original 12pk Cans 12pk 12 oz,https://enjoywineonline.com/shop/product/hoop-tea-original-12pk-cans/5f09f8cf04052c291c6286db?option-id=8851af93a74d70b3bf824cc47b689d57b6a2b09a5dd783fcfb9c21b799299797
1,Deep Eddy Vodka Ruby Red Grapefruit Soda RTD Cocktail Cans 4pk 12 oz,https://heritagewineandliquor.com/shop/product/deep-eddy-vodka-ruby-red-grapefruit-soda-rtd-cocktail-cans/60c3a7a000e86117db11d415?option-id=b81e16db2347143728910e715b4e0475c7d385d26803bea3525a814ecfbd095b
6,Mtn Dew Hard Zero Sugar Malt Beverage Baja Blast 24 oz,https://pourvous.us/shop/product/mtn-dew-hard-zero-sugar-malt-beverage-baja-blast/62212eaa73f8901f86439333?option-id=d4a9cbbbf3fec558790212111904abdc9ee40c0cde9aad29282559e007d4eab1
1,Deep Eddy Vodka Ruby Red Grapefruit Soda RTD Cocktail Cans 4pk 12 oz,https://twinliquors.com/shop/product/deep-eddy-vodka-ruby-red-grapefruit-soda-rtd-cocktail-cans/60c3a7a000e86117db11d415?option-id=b81e16db2347143728910e715b4e0475c7d385d26803bea3525a814ecfbd095b
1,Deep Eddy Ruby Red Grapefruit Vodka Soda 4pk Cn 12oz-4pk,https://www.luekensliquors.com/product/deep-eddy-ruby-red-grapefruit-vodka-soda-4pk-can/
8,El Jimador Variety Pack 12oz 12pk Cn,https://www.luekensliquors.com/product/el-jimador-variety-pack-12oz-12pk-cn/
3,Nutrl Lime Vodka Seltzer 12oz 4pk Cn,https://www.luekensliquors.com/product/nutrl-lime-vodka-seltzer-12oz-4pk-cn/
3,NUTRL LIME 4PK Hard Seltzer 4-Pack 12 Oz,https://www.partyliquorsuperstore.com/product/s-11993/p-21987421/buy-nutrl-lime-4pk
8,El Jimador - Ready to Drink Cocktails Variety Pack (12 pack 12oz cans),https://www.pogoswine.com/spirits/El-Jimador-Ready-to-Drink-Cocktails-Variety-Pack-w0078552w5
9,Blakes Apple Pie 6Pk,https://www.theliquorbarn.com/blakes-apple-pie-6pk/
2,Minus 196 Vodka Seltzer Variety 8 Pack,https://www.theliquorbarn.com/minus-196-vodka-seltzer-variety-8-pack/
4,1911 BLACK CHERRY 4PK CANS 16 OZ,https://www.towerwinespirits.com/product/s-11917/p-20266185/buy-1911-black-cherry-4pk-cans-16-oz
4,1911 Black Cherry Hard Cider NV / 16 oz. can | 4 pack,https://www.winemadeeasy.com/wine/fruit-wines/hard-ciders/1911-black-cherry-hard-cider-nv-16-oz-can-4-pack-53278.html
9,Blake's Hard Cider Apple Pie 6 pack 12 oz. Can,https://www.yankeespirits.com/products/14182564/blake-s-hard-cider-apple-pie
10,Hoop Tea American Orignial Spiked Iced Tea 12 pack 12 oz. Can,https://www.yankeespirits.com/products/14318370/hoop-tea-american-orignial-spiked-iced-tea
8,El Jimador Variety Pack 12 pack 12 oz. Can,https://www.yankeespirits.com/products/14465907/el-jimador-variety-pack
